id_str,_id,_cls,id_str,emotion_label,text,created_at
1364850365842264066,{'$oid': '60375b98a2fcc2253260074a'},Tweet,1364850365842264066,excitement,"RT @BaculioLaiza: Goodmorning Sersel lovers❤

#SolYanım",2021-02-25 10:10:59
1364850369780736000,{'$oid': '60375b99a2fcc2253260074b'},Tweet,1364850369780736000,excitement,RT @2FreeUSA: @jeffrocks59 @1RedDirtRd2 @satansradio666 @DMcDMuffin @dorisberriz @momof331 @twk4usa @GA_djt @teagiver7 @DixieKat3 @Bree1914…,2021-02-25 10:11:00
1364850374495109120,{'$oid': '60375b9aa2fcc2253260074c'},Tweet,1364850374495109120,excitement,"💸 PROMOTED: Work for the company that has @ 'esports'. 😍

💼 Social Media and Digital Manager
🏢 Esports Media Inc |… https://t.co/20vONaVQ5C",2021-02-25 10:11:01
1364850375371542534,{'$oid': '60375b9ba2fcc2253260074d'},Tweet,1364850375371542534,excitement,@simplifyin_life Done 😁,2021-02-25 10:11:01
1364850377972199425,{'$oid': '60375b9ba2fcc2253260074e'},Tweet,1364850377972199425,excitement,"RT @TitanSlayer675: Anyone attending @SizeCon this year, have fun!! And to anyone new, you’re in for something special!! 😁 Even if it’s pur…",2021-02-25 10:11:02
1364850389737222144,{'$oid': '60375b9ea2fcc2253260074f'},Tweet,1364850389737222144,excitement,Oooh I’m gonna wake up tomorrow no way I’ll die in my sleep I’ll definitely wake up tomorrow! Certainly I am going… https://t.co/tenwG9DRPO,2021-02-25 10:11:05
1364850394279645184,{'$oid': '60375b9fa2fcc22532600750'},Tweet,1364850394279645184,excitement,@tayfentybutera @augustspov Did I lie 😁,2021-02-25 10:11:06
1364850396360044546,{'$oid': '60375ba0a2fcc22532600751'},Tweet,1364850396360044546,excitement,Greggs sausage barm for brekkie! Nice start to the day and the sun is shining 😁,2021-02-25 10:11:06
1364850397559459842,{'$oid': '60375ba0a2fcc22532600752'},Tweet,1364850397559459842,excitement,im gonna die alone but thats ok 😁,2021-02-25 10:11:07
1364850397635043328,{'$oid': '60375ba0a2fcc22532600753'},Tweet,1364850397635043328,excitement,@day6uju @CLAUDERlEGAN hoping ur project is done soon 😁,2021-02-25 10:11:07
1364850398260060164,{'$oid': '60375ba0a2fcc22532600754'},Tweet,1364850398260060164,excitement,My oomf n her oomf on their tl rn I know that doesn’t make sense but you get it 😁,2021-02-25 10:11:07
1364850399145033730,{'$oid': '60375ba0a2fcc22532600755'},Tweet,1364850399145033730,excitement,RT @Lionesses: MORNING. 😁 https://t.co/t4k832jRI3,2021-02-25 10:11:07
1364850417142759424,{'$oid': '60375ba5a2fcc22532600756'},Tweet,1364850417142759424,excitement,RT @ItsHamidaaaA: Trendlist is mine FC i need your attention 😁 #EricaDeserves  #EricaDeserves PRICELESS ERICA https://t.co/O33Ou9dQ8v,2021-02-25 10:11:11
1364850417700536320,{'$oid': '60375ba5a2fcc22532600757'},Tweet,1364850417700536320,excitement,@pravj12 Yeah.. Meaning ke saath characterization bhi. 😁,2021-02-25 10:11:11
1364850419550224389,{'$oid': '60375ba5a2fcc22532600758'},Tweet,1364850419550224389,excitement,Exhibit W: Benjamin hasn’t slept in his bed for almost two weeks because we both got Covid and then the snow storm… https://t.co/kHQJpKQTYB,2021-02-25 10:11:12
1364850422117203969,{'$oid': '60375ba6a2fcc22532600759'},Tweet,1364850422117203969,excitement,Yea yup 😁 it’s my birthday today 🎂,2021-02-25 10:11:12
