id_str,_id,_cls,id_str,emotion_label,text,created_at
1369998411051765761,{'$oid': '604a16168a53c98a3f80a559'},Tweet,1369998411051765761,excitement,Join me at 1.30 and 6.30 on BBC1 for East Midlands Today 😁 https://t.co/64cTyab0I1,2021-03-11 15:07:29
1369998415182979075,{'$oid': '604a16178a53c98a3f80a55a'},Tweet,1369998415182979075,excitement,RT @REKIRIOTS: go for it sk8 twt 😁 https://t.co/AbJH2pWyuj,2021-03-11 15:07:30
1369998419930976261,{'$oid': '604a16188a53c98a3f80a55b'},Tweet,1369998419930976261,excitement,Amen. 😁,2021-03-11 15:07:31
1369998420342153220,{'$oid': '604a16188a53c98a3f80a55c'},Tweet,1369998420342153220,excitement,@TheeDougFather LOL 😂 Good morning! Have a great day 😁,2021-03-11 15:07:31
1369998420690280451,{'$oid': '604a16198a53c98a3f80a55d'},Tweet,1369998420690280451,excitement,@tasha_dilan @mj_blackqueen See now you’re getting it 😁,2021-03-11 15:07:31
1369998424020459524,{'$oid': '604a16198a53c98a3f80a55e'},Tweet,1369998424020459524,excitement,"@mustangsart First instinct, I believe you'd make a kick-ass artificer. In terms of ancestry, I'm not too certain b… https://t.co/3gXg3sPpTD",2021-03-11 15:07:32
1369998426218270723,{'$oid': '604a161a8a53c98a3f80a55f'},Tweet,1369998426218270723,excitement,RT @izonesfeather: izone top 1 in gg brand reputation and all 12 members will enter top 10 at this rate 😁,2021-03-11 15:07:32
1369998430005694469,{'$oid': '604a161b8a53c98a3f80a560'},Tweet,1369998430005694469,excitement,"RT @GilaniTufail: Dictators are able to spread fear among their people, and place themselves as their only salvation. Manufacturing an exte…",2021-03-11 15:07:33
1369998433222725635,{'$oid': '604a161c8a53c98a3f80a561'},Tweet,1369998433222725635,excitement,RT @seachanvnn: 24 hour flash sale! My main page is discounted to only $7.99 for the next 24 hours https://t.co/qvksrMSWM4 . If you enjoyin…,2021-03-11 15:07:34
1369998434858590212,{'$oid': '604a161c8a53c98a3f80a562'},Tweet,1369998434858590212,excitement,RT @FundamentasHQ: Cracking news 🤭 The eggs are starting to hatch! We can hear a rattling sound... 🤔 Maybe there is more than one prize in…,2021-03-11 15:07:34
1369998435491930115,{'$oid': '604a161c8a53c98a3f80a563'},Tweet,1369998435491930115,excitement,he reminds me so much of nkoko 😂😂❤️,2021-03-11 15:07:35
1369998440185364482,{'$oid': '604a161d8a53c98a3f80a564'},Tweet,1369998440185364482,excitement,@WxSheena I watched this one 😁,2021-03-11 15:07:36
1369998440369823749,{'$oid': '604a161d8a53c98a3f80a565'},Tweet,1369998440369823749,excitement,@parkjayed thank you for the idea 😁,2021-03-11 15:07:36
1369998440491548675,{'$oid': '604a161d8a53c98a3f80a566'},Tweet,1369998440491548675,excitement,RT @campbellclaret: One of my finest moments! And there have been so many ...,2021-03-11 15:07:36
1369998443301777409,{'$oid': '604a161e8a53c98a3f80a567'},Tweet,1369998443301777409,excitement,"RT @TomFelton: Thank you my dears, you won’t find a better model. Had a lot of fun x",2021-03-11 15:07:36
1369998443679260676,{'$oid': '604a161e8a53c98a3f80a568'},Tweet,1369998443679260676,excitement,RT @tiisetso_real: Ma’Jozi always come with nice gifts 😁 #SeriouslyAddictive #KFCSpicyChips @KFCSA https://t.co/n5OhFpbfF8,2021-03-11 15:07:36
1369998447600824322,{'$oid': '604a161f8a53c98a3f80a569'},Tweet,1369998447600824322,excitement,@PawanismCh Yess Yess 😁 #HariHaraVeeraMallu,2021-03-11 15:07:37
1369998448406106114,{'$oid': '604a161f8a53c98a3f80a56a'},Tweet,1369998448406106114,excitement,"RT @4NGEL1N4: if u are ugly, it’s okay 😁 just be funny",2021-03-11 15:07:38
1369998455070986243,{'$oid': '604a16218a53c98a3f80a56b'},Tweet,1369998455070986243,excitement,"RT @thekpopsis: Have you streamed today? 😁

REQUEST @SB19Official @MTV #FridayLivestream 

#SB19WhatMYXDailyTop1
#SB19",2021-03-11 15:07:39
1369998455960178692,{'$oid': '604a16218a53c98a3f80a56c'},Tweet,1369998455960178692,excitement,RT @NinaSpencer20: @Hundjavelen @Lazygal28 @HPL_JDeLaughter @caseybella3 @artyreg77 @ElaineCruseArt @Mystificus @EcuadorDon @RealSardonicus…,2021-03-11 15:07:39
1369998469461540865,{'$oid': '604a16248a53c98a3f80a56d'},Tweet,1369998469461540865,excitement,@rawat_shivali @Wild_Squi Good. 😁,2021-03-11 15:07:43
1369998471697203209,{'$oid': '604a16258a53c98a3f80a56e'},Tweet,1369998471697203209,excitement,as the pics go on his hat gets lower and lower 😂😂,2021-03-11 15:07:43
1369998473387462657,{'$oid': '604a16258a53c98a3f80a56f'},Tweet,1369998473387462657,excitement,"@mksid123 Few years ago on silent mode
Now normal 😁",2021-03-11 15:07:44
1369998475732000769,{'$oid': '604a16268a53c98a3f80a570'},Tweet,1369998475732000769,excitement,"RT @PG_2_0: Hope Pb Fans &amp; Rc Fans Are Having Good Time 😁

#CharacterLessHeroineAlluArjun
#InsecureDogAlluArjun",2021-03-11 15:07:44
1369998476340256772,{'$oid': '604a16268a53c98a3f80a571'},Tweet,1369998476340256772,excitement,"RT @McLarenF1: When even the masks can’t hide their smiles! 😁

Good vibes from the boys in Bahrain! #F1Testing https://t.co/RPQulBIyhi",2021-03-11 15:07:44
1369998476457644039,{'$oid': '604a16268a53c98a3f80a572'},Tweet,1369998476457644039,excitement,"RT @ShrNita: Very smooth 😎
@Anju19487608 @Vansh_RiAnsh Babies, see your Mafia Vanshu's swagger here 😁
I'm so so glad they didn't ruin Vangr…",2021-03-11 15:07:44
